param_n_estimators,param_max_features,param_max_depth,param_criterion,mean_test_f1_weighted,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_recall[deceased],mean_test_accuracy,rank_test_accuracy
50,sqrt,20,gini,0.765245489,0.817335689,0.809526174,0.029676252,0.809526174,1
200,auto,20,entropy,0.765244048,0.817304317,0.809496982,0.029145748,0.809496982,2
100,auto,20,entropy,0.765204605,0.817372443,0.809488224,0.029940801,0.809488224,3
20,auto,20,gini,0.765297726,0.817018713,0.809476549,0.030206405,0.809476549,4
200,log2,20,gini,0.765144569,0.817182572,0.809435681,0.029146099,0.809435681,5
200,sqrt,20,gini,0.765144569,0.817182572,0.809435681,0.029146099,0.809435681,5
100,log2,20,gini,0.765218314,0.816810992,0.809377299,0.029941153,0.809377299,7
100,auto,20,gini,0.765218314,0.816810992,0.809377299,0.029941153,0.809377299,7
50,sqrt,40,entropy,0.765337988,0.815974021,0.809301404,0.029940801,0.809301404,9
50,sqrt,100,entropy,0.765337988,0.815974021,0.809301404,0.029940801,0.809301404,9
50,log2,,entropy,0.765337988,0.815974021,0.809301404,0.029940801,0.809301404,9
50,log2,100,entropy,0.765337988,0.815974021,0.809301404,0.029940801,0.809301404,9
50,sqrt,30,gini,0.765304834,0.81588998,0.809286808,0.029146099,0.809286808,13
50,log2,100,gini,0.765306689,0.81580941,0.80928097,0.029411,0.80928097,14
200,log2,50,entropy,0.765472478,0.815726518,0.80927805,0.029146099,0.80927805,15
200,log2,100,entropy,0.765472478,0.815726518,0.80927805,0.029146099,0.80927805,15
200,auto,50,gini,0.765426371,0.815503198,0.809248859,0.028086497,0.809248859,17
200,log2,40,gini,0.765426371,0.815503198,0.809248859,0.028086497,0.809248859,17
200,auto,,gini,0.765426371,0.815503198,0.809248859,0.028086497,0.809248859,17
20,sqrt,,entropy,0.765217807,0.815961852,0.809240103,0.030736206,0.809240103,20
20,sqrt,50,entropy,0.765217807,0.815961852,0.809240103,0.030736206,0.809240103,20
200,auto,10,entropy,0.759898314,0.820801207,0.807789313,0.028351749,0.807789313,22
100,auto,10,entropy,0.759858607,0.820527688,0.807748445,0.028086848,0.807748445,23
200,sqrt,8,entropy,0.751833234,0.820681367,0.804134606,0.006624976,0.804134606,24
50,sqrt,6,entropy,0.708478186,0.815276267,0.787478274,0.005829571,0.787478274,25
50,log2,6,gini,0.697697654,0.809583389,0.783376925,0.005564671,0.783376925,26
100,sqrt,4,gini,0.695682332,0.759033645,0.782731805,0,0.782731805,27
200,auto,4,entropy,0.695636653,0.637261928,0.782723048,0,0.782723048,28
100,log2,4,entropy,0.695631405,0.63725708,0.78271721,0,0.78271721,29
50,auto,4,gini,0.695655128,0.690294735,0.782714291,0,0.782714291,30
